date,Timeslot,app_temp(℃),dew_point(℃),feels_like(℃),humidity(%),temperature(℃)
2025-09-17,06:00:00-07:59:59,22.0,14.25,20.98,65.25,20.98
2025-09-17,08:00:00-09:59:59,22.88,13.05,22.7,54.75,22.7
2025-09-17,10:00:00-11:59:59,25.83,13.12,25.48,46.25,25.48
2025-09-17,12:00:00-13:59:59,27.32,13.57,26.68,44.5,26.7
2025-09-17,14:00:00-15:59:59,28.4,13.8,27.4,43.25,27.48
2025-09-17,16:00:00-17:59:59,26.5,13.8,25.4,48.75,25.38
2025-09-17,18:00:00-19:59:59,24.43,14.07,23.13,56.67,23.13
