date,Timeslot,DeviceConnected
2025-09-19,06:00:00-07:59:59,0
2025-09-19,08:00:00-09:59:59,0
2025-09-19,10:00:00-11:59:59,0
2025-09-19,12:00:00-13:59:59,0
2025-09-19,14:00:00-15:59:59,0
2025-09-19,16:00:00-17:59:59,0
2025-09-19,18:00:00-19:59:59,0
