Date,Timeslot,DeviceConnected
2025-09-18,2025-09-18T06:00:00Z - 2025-09-18T07:59:59Z,0
2025-09-18,2025-09-18T08:00:00Z - 2025-09-18T09:59:59Z,0
2025-09-18,2025-09-18T10:00:00Z - 2025-09-18T11:59:59Z,0
2025-09-18,2025-09-18T12:00:00Z - 2025-09-18T13:59:59Z,0
2025-09-18,2025-09-18T14:00:00Z - 2025-09-18T15:59:59Z,0
2025-09-18,2025-09-18T16:00:00Z - 2025-09-18T17:59:59Z,0
2025-09-18,2025-09-18T18:00:00Z - 2025-09-18T19:59:59Z,0
