Day Timeframe WasCraneUsed NumberOfMoves Weather 
20250917 06:00:00-07:59:59 Yes NumberOfMoves Sunny 
20250917 08:00:00-09:59:59 No 0 Sunny 
20250917 10:00:00-11:59:59 No 0 Sunny 
20250917 12:00:00-13:59:59 No 0 Sunny 
20250917 14:00:00-15:59:59 No 0 Sunny 
20250917 16:00:00-17:59:59 No 0 Sunny 
20250917 18:00:00-20:00:00 No 0 Sunny 
