ts_start,ts_end,device_connected
2025-09-19T06:00:00Z,2025-09-19T07:59:59Z,0
2025-09-19T08:00:00Z,2025-09-19T09:59:59Z,0
2025-09-19T10:00:00Z,2025-09-19T11:59:59Z,0
2025-09-19T12:00:00Z,2025-09-19T13:59:59Z,0
2025-09-19T14:00:00Z,2025-09-19T15:59:59Z,0
2025-09-19T16:00:00Z,2025-09-19T17:59:59Z,0
2025-09-19T18:00:00Z,2025-09-19T19:59:59Z,0
