Date,Timeslot,device_connected
2025-09-15,06:00:00-07:59:59,5
2025-09-15,08:00:00-09:59:59,7
2025-09-15,10:00:00-11:59:59,4
2025-09-15,12:00:00-13:59:59,4
2025-09-15,14:00:00-15:59:59,2
2025-09-15,16:00:00-17:59:59,0
2025-09-15,18:00:00-18:48:25,0
