Date,Timeslot,device_connected
2025-09-18,06:00:00-07:59:59,3
2025-09-18,08:00:00-09:59:59,3
2025-09-18,10:00:00-11:59:59,3
2025-09-18,12:00:00-13:59:59,3
2025-09-18,14:00:00-15:59:59,2
2025-09-18,16:00:00-17:52:15,0
