Date,Timeslot,device_connected
2025-09-13,06:00:00-07:59:59,1
2025-09-13,08:00:00-09:59:59,1
2025-09-13,10:00:00-11:59:59,1
2025-09-13,12:00:00-13:59:59,0
2025-09-13,14:00:00-15:21:25,0
