Date,Timeslot,device_connected
2025-09-21,06:00:00-07:59:59,0
2025-09-21,08:00:00-09:59:59,0
2025-09-21,10:00:00-11:59:59,0
2025-09-21,12:00:00-13:59:59,0
2025-09-21,14:00:00-15:59:59,0
2025-09-21,16:00:00-17:59:59,0
2025-09-21,18:00:00-19:59:59,0
2025-09-21,20:00:00-20:26:58,0
